,formula,Ef,num_atoms
2959,U2N3,-1.5127065652061,5.0
2996,UN2,-1.495191535229,3.0
3083,U3N4,-1.43483207233915,7.0
3110,UN,-1.41583815017175,2.0
3924,U3N2,-0.837501544137403,5.0
13245,UN3,-0.0864766302576285,4.0
27154,U3N,0.246829169914124,4.0
0,UN4,-0.3180927545691757,5.0
1,U2N9,-0.33143121182123064,11.0
2,UN5,-0.3324629141159661,6.0
3,UN6,-0.5321777924428949,7.0
4,U3N8,-0.4925774055271225,11.0
5,U4N5,-1.4277317973717607,9.0
6,U2N,-0.49613962463198646,3.0
7,U2N5,-0.5327911091125588,7.0
8,U3N5,-1.3721977133635155,8.0
9,U7N12,-1.3523874859494354,19.0
10,U4N3,-0.7497098804803622,7.0
11,U7N3,-0.4141365626553739,10.0
12,U5N4,-0.8519968604271849,9.0
13,U5N3,-0.5857441623597529,8.0
14,UN7,-0.6228172845033576,8.0
15,U4N15,-0.2796642837893569,19.0
16,U2N7,-0.2796642837893569,9.0
17,UN12,-0.580595216664548,13.0
18,U2N17,-0.629315925033851,19.0
19,U11N16,-1.498909085675606,27.0
20,UN13,-0.580595216664548,14.0
21,U6N7,-1.3993223816011182,13.0
22,U6N23,-0.30126345086155804,29.0
