,formula,Ef,num_atoms
2959,U2N3,-1.5127065652061,5.0
2996,UN2,-1.495191535229,3.0
3083,U3N4,-1.43483207233915,7.0
3110,UN,-1.41583815017175,2.0
3924,U3N2,-0.837501544137403,5.0
13245,UN3,-0.0864766302576285,4.0
27154,U3N,0.246829169914124,4.0
0,UN4,-0.022890513854623012,5.0
1,U3N8,-0.15000609479940893,11.0
2,U4N5,-1.4787977383171123,9.0
3,U2N,-0.4886902711853368,3.0
4,U2N5,-0.25950787999769365,7.0
5,U3N5,-1.2458508366140937,8.0
6,U7N12,-1.1900468442925412,19.0
7,U4N3,-0.6969599922481976,7.0
8,U7N3,-0.3847865950671744,10.0
9,U5N4,-0.7544401368867938,9.0
10,U5N3,-0.615532807605078,8.0
11,U4N15,-0.014423202061896234,19.0
12,U2N7,-0.00471907934544516,9.0
13,UN12,-0.258214506350665,13.0
14,U11N16,-1.4060662529435362,27.0
15,UN13,-0.27201214046443933,14.0
16,U6N7,-1.4667618671358442,13.0
17,U6N23,-0.01725689783544085,29.0
