,formula,Ef,num_atoms
21,UO2,-3.8192987939272,3.0
166,U3O8,-3.34901594132748,11.0
181,U2O3,-3.32372922653689,5.0
354,UO3,-3.13105211222759,4.0
936,UO,-2.64427993420142,2.0
2063,U3O2,-2.00933231986596,5.0
4290,U2O,-0.731426843642314,3.0
5821,U3O,-0.50102903211276,4.0
0,UO4,-2.9686011551065064,5.0
1,U2O9,-2.862766875801468,11.0
2,UO5,-2.764278073062981,6.0
3,UO6,-2.632896120711854,7.0
4,U4O5,-3.0061810973760577,9.0
5,U2O5,-3.444591824462983,7.0
6,U3O4,-3.1142376401995775,7.0
7,U3O5,-3.362209930527345,8.0
8,U7O12,-3.381580652330252,19.0
9,U4O3,-1.9384052584665714,7.0
10,U7O3,-0.5363591953406713,10.0
11,U5O4,-2.0638640389488203,9.0
12,U5O3,-1.3195098849775933,8.0
13,UO7,-2.540950950505379,8.0
14,U4O15,-3.020796011897502,19.0
15,U2O7,-3.084278137511911,9.0
16,UO12,-2.3135534683668744,13.0
17,U2O17,-2.464246538761922,19.0
18,U11O16,-3.2451611071263358,27.0
19,UO13,-2.271937601536211,14.0
20,U6O7,-2.8808790334852015,13.0
21,U6O23,-3.003886064905951,29.0
22,U6O,-0.24235451518048237,7.0
23,U5O,-0.25829167742428405,6.0
