,formula,Ef,num_atoms
2959,U2N3,-1.5127065652061,5.0
2996,UN2,-1.495191535229,3.0
3083,U3N4,-1.43483207233915,7.0
3110,UN,-1.41583815017175,2.0
8975,UH3,-0.265673788200631,4.0
15977,UH,-0.0022377635920873,2.0
27154,U3N,0.246829169914124,4.0
34520,U3H,0.399477143203955,4.0
60923,U2H,1.63186293760528,3.0
0,U3H13,-0.22082084078363226,32.0
1,UH2N,-0.6488794663102585,4.0
2,U3H14,-0.22128626731314185,17.0
3,UH5,-0.2151573546473943,12.0
4,U2H9,-0.22224499467414546,33.0
5,UH14,-0.1294876885302921,15.0
6,UHN,-0.9153895114493712,3.0
7,UH8,-0.1575930171856744,9.0
8,U(HN2)6,-0.510926227543533,19.0
9,UHN3,-0.9017067300659777,5.0
10,UH7,-0.18205944264121507,8.0
11,UH6,-0.22512185118187203,7.0
12,UHN4,-0.6446046940648616,6.0
13,U(HN2)2,-0.7092614515692328,7.0
14,UH11,-0.13420895862560808,12.0
15,U2H2N9,-0.56235805058383,13.0
16,U4H4N11,-0.9593568254815489,19.0
17,U(HN3)2,-0.5026689979038512,9.0
18,UH6,-0.22512185118187203,14.0
19,U2HN4,-1.1225489484726328,7.0
20,U(HN)2,-1.0190110376694708,5.0
21,UH10,-0.13649974684810692,11.0
22,UH2N7,-0.469376357299485,10.0
23,U3HN4,-1.0679658834016765,8.0
24,UH12,-0.1325847512686895,13.0
25,UH4N,-0.3363949587067234,6.0
26,U2H2N5,-0.9895794048571763,9.0
27,U2H2N7,-0.7733096671690133,11.0
28,U2H6N19,-0.4741656212860116,27.0
29,U(HN2)3,-0.5526845373766883,10.0
30,U4H2N7,-1.1243500990759248,13.0
31,UH2N5,-0.5880911256353063,8.0
32,U4N7,-1.1466867962092089,11.0
33,U2HN7,-0.6574138662757208,10.0
34,U(HN3)4,-0.4832414255945109,17.0
35,U3(H2N5)2,-0.8082131195119574,17.0
36,U4N5,-1.4787977383171123,9.0
37,UH3N10,-0.47103881349751353,14.0
38,U2HN6,-0.8222748110395695,9.0
39,UHN2,-0.9751273798191337,4.0
40,UHN5,-0.5147742858045624,7.0
41,UH2N3,-0.8315305841228177,6.0
42,U2N5,-0.25950787999769354,7.0
43,U3HN10,-0.6500874359532737,14.0
44,U4H8N11,-0.8435798620533262,23.0
45,U2H6N7,-0.7206775886428488,15.0
46,UH3N4,-0.6821283702235824,8.0
47,U3(HN5)2,-0.7546594175782481,15.0
48,U2H2N11,-0.4855693193891175,15.0
49,UHN6,-0.4765006799643885,8.0
50,U2H4N5,-0.8309330940188641,11.0
51,U(HN4)2,-0.4610298163009293,11.0
52,UH4,-0.21828016348198911,5.0
53,UH4N5,-0.624341041228967,10.0
54,U2(HN2)3,-0.8678788478190781,11.0
55,U3HN2,-0.4581539106169019,6.0
56,U2H5N2,-0.5688594454087852,9.0
57,U(HN)6,-0.7824618405745605,13.0
58,UH7N6,-0.6520200921448088,14.0
59,U(H4N3)2,-0.6055874560763108,15.0
60,U2H3N8,-0.7030460488912277,13.0
61,U2N7,-0.00471907934544516,9.0
62,U2H2N,-0.44902790273697324,5.0
63,UH2,-0.20553407483825234,3.0
64,U2H3,-0.15273204495424317,5.0
65,UN4,-0.022890513854623012,5.0
66,UH3N,-0.603396441413797,5.0
67,U2HN3,-1.0561509234885582,6.0
68,U4N3,-0.6969599922481976,7.0
69,U2HN5,-1.0251978808654099,8.0
70,U4H2N,-0.18238239767984707,7.0
71,U3H8,-0.21937591625869177,22.0
72,U3HN6,-1.1307406657646413,10.0
73,U8HN17,-1.018599535685129,26.0
74,U2HN2,-0.9144998841352966,5.0
75,U(HN)8,-0.7406693160530777,17.0
76,U6H23,-0.21793524346452617,29.0
77,U3H3N2,-0.6295915950827011,8.0
78,U4H6N,-0.32618110475915074,11.0
79,U3H2N7,-1.073801067603456,12.0
80,U2HN,-0.33693257675547383,4.0
81,U4H2N3,-0.5509346306428137,9.0
82,U3HN,-0.16099390601568356,5.0
83,UH2,-0.20553407483825234,9.0
84,U(H3N4)2,-0.5679709412061814,15.0
85,U4HN2,-0.2583478762040218,7.0
86,U2H5,-0.22065206557073028,7.0
87,U2H7,-0.21838813677895982,9.0
88,U5H31,-0.19588158573022305,36.0
89,UH16,-0.13128571154327748,17.0
90,U3H5,-0.17371565888643622,8.0
91,U2H19,-0.13783388463224053,21.0
92,UH5,-0.2151573546473943,6.0
93,U2H3N,-0.42510584537803886,6.0
94,U3H7,-0.22205871320781725,10.0
95,UH2,-0.20553407483825234,6.0
96,UH4,-0.21828016348198911,10.0
97,UH4N3,-0.7276019090775673,8.0
98,UH22,-0.14117821206491563,23.0
99,U2H11,-0.20527978976601255,13.0
100,U3H2N,-0.2651971256333552,6.0
101,U4H13,-0.21889584944517979,17.0
102,UH3N2,-0.7367460185805311,6.0
103,U3H17,-0.20249334945767997,20.0
104,U(H2N)2,-0.6104980786130491,7.0
105,U2H49,-0.14424222058608335,51.0
106,U3H8,-0.21937591625869177,11.0
107,U4H31,-0.1633681192339599,35.0
108,U3H16,-0.20845102440995908,19.0
109,UH9,-0.1405359234799248,10.0
110,U8H15,-0.1950274511249068,23.0
111,U3H2N3,-0.8484626485666912,8.0
112,U2N,-0.4886902711853368,3.0
113,U2H9,-0.22224499467414535,11.0
114,U3H11,-0.21837186989722954,14.0
115,U2H25,-0.1314699613931893,27.0
116,U3(HN)2,-0.4683283774205741,7.0
117,U4H23,-0.20130369879751495,27.0
118,U2H2N3,-0.8377816226802777,7.0
119,U2H4N3,-0.812535895682431,9.0
120,U2H27,-0.12949938431126642,29.0
121,U11(H2N3)6,-0.9023317018024491,41.0
122,U2H17N3,-0.22982755834970395,22.0
123,U4H5,-0.11856692210587014,9.0
124,U3H4,-0.12888755092250778,7.0
125,U(HN)4,-0.929045294629436,9.0
126,U2H6N5,-0.7838509360331832,13.0
127,U2H3N2,-0.7168062328065992,7.0
128,U3N5,-1.2458508366140935,8.0
129,U(HN)3,-0.9634342786328304,7.0
130,U2H17,-0.14732178194065107,19.0
131,U5H3N8,-1.0426096273722736,16.0
132,U2H3N4,-0.8510816669805661,9.0
133,U2N,-0.4886902711853368,6.0
134,UH20,-0.13821592540919822,21.0
135,U2H15,-0.16979836429911818,17.0
136,UH28,-0.14744801164824803,29.0
137,U2(HN)3,-1.0113618197011718,8.0
138,U4HN,-0.06401891204480473,6.0
139,U2H4N,-0.4094298108920177,7.0
140,U2H5N,-0.3762427522659074,8.0
