,formula,Ef,num_atoms
2959,U2N3,-1.5127065652061,5.0
2996,UN2,-1.495191535229,3.0
3083,U3N4,-1.43483207233915,7.0
3110,UN,-1.41583815017175,2.0
8975,UH3,-0.265673788200631,4.0
15977,UH,-0.0022377635920873,2.0
27154,U3N,0.246829169914124,4.0
34520,U3H,0.399477143203955,4.0
60923,U2H,1.63186293760528,3.0
0,U3H13,-0.2567911468183219,32.0
1,UH2N,-0.441654263399484,4.0
2,U3H14,-0.2555456379306757,17.0
3,UH5,-0.2451889084947616,12.0
4,U2H9,-0.2551133994088472,33.0
5,UH14,-0.21977919831378334,15.0
6,UHN,-0.7256591043925086,3.0
7,UH8,-0.21887417239612128,9.0
8,U(HN2)6,-0.670768537589093,19.0
9,UHN3,-0.932250485638387,5.0
10,UH7,-0.24137374294817276,8.0
11,UH6,-0.265313076759126,7.0
12,UHN4,-0.5815601609220431,6.0
13,U(HN2)2,-0.8572215801121423,7.0
14,UH11,-0.2008572425156281,12.0
15,U2H2N9,-0.5157862539038268,13.0
16,U4H4N11,-1.0547492002141339,19.0
17,U(HN3)2,-0.5102536453554356,9.0
18,UH6,-0.265313076759126,14.0
19,U2HN4,-1.18315784668052,7.0
20,U(HN)2,-0.7841927417655734,5.0
21,UH10,-0.1991812567362526,11.0
22,UH2N7,-0.4685167294659786,10.0
23,U3HN4,-1.171840811593686,8.0
24,UH12,-0.2077353618983141,13.0
25,UH4N,-0.3407907612512979,6.0
26,U2H2N5,-1.11336855291408,9.0
27,U2H2N7,-0.7428234807906056,11.0
28,U2H6N19,-0.48155055674788827,27.0
29,U(HN2)3,-0.7460489169890789,10.0
30,U4H2N7,-1.1725890227157176,13.0
31,UH2N5,-0.7471954280855193,8.0
32,U4N7,-1.2027328946566647,11.0
33,U2HN7,-0.5401108763493889,10.0
34,U(HN3)4,-0.5200694314440781,17.0
35,U3(H2N5)2,-0.9257003908306991,17.0
36,U4N5,-1.4532647678444364,9.0
37,UH3N10,-0.4396735905874972,14.0
38,U2HN6,-0.6227433064552639,9.0
39,UHN2,-1.0903484573487596,4.0
40,UHN5,-0.46844581522920176,7.0
41,UH2N3,-0.9412814410625612,6.0
42,U2N5,-0.3961494945551262,7.0
43,U3HN10,-0.5035085651795735,14.0
44,U4H8N11,-0.9303031365654557,23.0
45,U2H6N7,-0.7695855011641477,15.0
46,UH3N4,-0.8176795389244259,8.0
47,U3(HN5)2,-0.632550559082397,15.0
48,U2H2N11,-0.4360402811716775,15.0
49,UHN6,-0.4128238401319034,8.0
50,U2H4N5,-0.7713865824034732,11.0
51,U(HN4)2,-0.4617181911096787,11.0
52,UH4,-0.25769681085417206,5.0
53,UH4N5,-0.7716077433914936,10.0
54,U2(HN2)3,-0.9658988889433646,11.0
55,U3HN2,-0.5046845746920738,6.0
56,U2H5N2,-0.4026794690042341,9.0
57,U(HN)6,-0.7538723007918064,13.0
58,UH7N6,-0.6522256739531611,14.0
59,U(H4N3)2,-0.5764161793498437,15.0
60,U2H3N8,-0.809112264019982,13.0
61,U2N7,-0.14219168156740103,9.0
62,U2H2N,-0.3781029779116103,5.0
63,UH2,-0.19693418780748284,3.0
64,U2H3,-0.18010494830089158,5.0
65,UN4,-0.1704916342118994,5.0
66,UH3N,-0.4965062187275717,5.0
67,U2HN3,-1.130343751419003,6.0
68,U4N3,-0.72333493636428,7.0
69,U2HN5,-0.9410649855038159,8.0
70,U4H2N,-0.25345228510249745,7.0
71,U3H8,-0.2487070337711793,22.0
72,U3HN6,-1.0882756896305854,10.0
73,U8HN17,-0.9250398000091338,26.0
74,U2HN2,-0.813742854379364,5.0
75,U(HN)8,-0.7462354620840915,17.0
76,U6H23,-0.25542980665801396,29.0
77,U3H3N2,-0.45584985494546226,8.0
78,U4H6N,-0.3167916704760834,11.0
79,U3H2N7,-1.1372663117261193,12.0
80,U2HN,-0.35249563819437224,4.0
81,U4H2N3,-0.547477101189682,9.0
82,U3HN,-0.2605149609999539,5.0
83,UH2,-0.19693418780748284,9.0
84,U(H3N4)2,-0.7369857657663899,15.0
85,U4HN2,-0.3824860828288886,7.0
86,U2H5,-0.2431175807402805,7.0
87,U2H7,-0.2508064095511141,9.0
88,U5H31,-0.2506929440333015,36.0
89,UH16,-0.22125039936116697,17.0
90,U3H5,-0.16526312955819344,8.0
91,U2H19,-0.20240376447542152,21.0
92,UH5,-0.24518890849476166,6.0
93,U2H3N,-0.3425305644495062,6.0
94,U3H7,-0.22582141663760694,10.0
95,UH2,-0.19693418780748284,6.0
96,UH4,-0.25769681085417206,10.0
97,UH4N3,-0.6621227786389698,8.0
98,UH22,-0.23543479530953765,23.0
99,U2H11,-0.25057853048228745,13.0
100,U3H2N,-0.3007452200257902,6.0
101,U4H13,-0.24823097922283904,17.0
102,UH3N2,-0.5940659545791691,6.0
103,U3H17,-0.255509120424503,20.0
104,U(H2N)2,-0.4900503908963477,7.0
105,U2H49,-0.24118929695843594,51.0
106,U3H8,-0.2487070337711793,11.0
107,U4H31,-0.22281662628656845,35.0
108,U3H16,-0.24020816436130205,19.0
109,UH9,-0.20336315781299713,10.0
110,U8H15,-0.17653767047705926,23.0
111,U3H2N3,-0.7747179036073246,8.0
112,U2N,-0.4924149479086616,3.0
113,U2H9,-0.25511339940884714,11.0
114,U3H11,-0.25213010377257944,14.0
115,U2H25,-0.206368552273064,27.0
116,U3(HN)2,-0.4361895759642898,7.0
117,U4H23,-0.25244491407107533,27.0
118,U2H2N3,-0.781851304813782,7.0
119,U2H4N3,-0.6206331097824171,9.0
120,U2H27,-0.21807656294107491,29.0
121,U11(H2N3)6,-0.9142280898512458,41.0
122,U2H17N3,-0.29281639688685596,22.0
123,U4H5,-0.1482536099061183,9.0
124,U3H4,-0.15101376546831496,7.0
125,U(HN)4,-0.7804909821680583,9.0
126,U2H6N5,-0.6661581429771182,13.0
127,U2H3N2,-0.50634127664381,7.0
128,U3N5,-1.3090242749888046,8.0
129,U(HN)3,-0.8434400744923646,7.0
130,U2H17,-0.21567689317024424,19.0
131,U5H3N8,-1.1187732712292549,16.0
132,U2H3N4,-0.8253791791401165,9.0
133,U2N,-0.4924149479086616,6.0
134,UH20,-0.2311065425802183,21.0
135,U2H15,-0.23512043505352265,17.0
136,UH28,-0.24279219248951828,29.0
137,U2(HN)3,-0.7829501916513089,8.0
138,U2H4N,-0.3479334746796449,7.0
139,U2H5N,-0.3546248852874977,8.0
