,formula,Ef,num_atoms
21,UO2,-3.8192987939272,3.0
166,U3O8,-3.34901594132748,11.0
181,U2O3,-3.32372922653689,5.0
354,UO3,-3.13105211222759,4.0
936,UO,-2.64427993420142,2.0
1191,UNO,-2.44346775874878,3.0
1562,U3NO2,-2.22137324911222,6.0
2063,U3O2,-2.00933231986596,5.0
2279,U2N2O,-1.89610320332279,5.0
2959,U2N3,-1.5127065652061,5.0
2996,UN2,-1.495191535229,3.0
3083,U3N4,-1.43483207233915,7.0
3110,UN,-1.41583815017175,2.0
3231,U4N2O,-1.29715381023745,7.0
3924,U3N2,-0.837501544137403,5.0
4290,U2O,-0.731426843642314,3.0
5821,U3O,-0.50102903211276,4.0
13245,UN3,-0.0864766302576285,4.0
27154,U3N,0.246829169914124,4.0
0,U3O13,-2.8978798866409794,32.0
1,UNO2,-1.561914695807907,4.0
2,U3O14,-2.8286910680428474,17.0
3,UO5,-2.764278073062981,12.0
4,U2O9,-2.862766875801468,33.0
5,UO14,-2.234641413069567,15.0
6,UO8,-2.4871471494183464,9.0
7,UN18,-0.31849349220549295,19.0
8,UN4,-0.022890513854623012,5.0
9,UO7,-2.540950950505379,8.0
10,UO6,-2.632896120711854,7.0
11,UO11,-2.3587409136629436,12.0
12,U4N15,-0.014423202061896234,19.0
13,UO6,-2.632896120711854,14.0
14,U2N5,-0.25950787999769354,7.0
15,U(NO)2,-0.81271151285046,5.0
16,UO10,-2.410601635295891,11.0
17,U3N5,-1.2458508366140937,8.0
18,UO12,-2.3135534683668744,13.0
19,UNO4,-1.4520848820977112,6.0
20,U2N7,-0.00471907934544516,9.0
21,U2N25,-0.26565522493912797,27.0
22,U4N9,-0.5105014221365887,13.0
23,U4N7,-1.1466867962092089,11.0
24,UN4,-0.022890513854623012,10.0
25,UN16,-0.30303486122875833,17.0
26,U4N5,-1.4787977383171123,9.0
27,UN13,-0.27201214046443933,14.0
28,U3N11,-0.01130992529826727,14.0
29,UN4,-0.02289051385462315,15.0
30,UN14,-0.28377040095048534,15.0
31,UO4,-2.9686011551065064,5.0
32,UN12,-0.25821450635066523,13.0
33,UN21,-0.33764113120413486,22.0
34,UN5O2,-0.12340796508387739,8.0
35,U2N4O,-0.3954655853130463,7.0
36,UN3O,-0.12058048005050212,5.0
37,U4N3,-0.6969599922481976,7.0
38,U2N5O,-0.1281629899338261,8.0
39,U3N6O,-0.3516623569767682,10.0
40,U8N17O,-0.2125722142904611,26.0
41,UN3O2,-0.21801273284479059,6.0
42,U6O23,-3.003886064905951,29.0
43,UN2O,-0.5439242289508216,4.0
44,U2N6O,-0.05758844893529827,9.0
45,U2N3O,-0.8474012240308079,6.0
46,U3N2O3,-2.3828642368513306,8.0
47,U2N9O2,-0.07509369332433247,13.0
48,U3N7O2,-0.22991544656978616,12.0
49,U2NO,-1.872966762315017,4.0
50,U3N2O,-1.6194774381458115,6.0
51,U4N3O2,-1.8875878779800803,9.0
52,UN4O,-0.08382132477240337,6.0
53,U(N4O3)2,-0.21203937424105376,15.0
54,U(N2O)2,-0.15160646526415864,7.0
55,U2O5,-3.444591824462983,7.0
