,formula,Ef,num_atoms
21,UO2,-3.8192987939272,3.0
166,U3O8,-3.34901594132748,11.0
181,U2O3,-3.32372922653689,5.0
354,UO3,-3.13105211222759,4.0
936,UO,-2.64427993420142,2.0
1191,UNO,-2.44346775874878,3.0
1562,U3NO2,-2.22137324911222,6.0
2063,U3O2,-2.00933231986596,5.0
2279,U2N2O,-1.89610320332279,5.0
2959,U2N3,-1.5127065652061,5.0
2996,UN2,-1.495191535229,3.0
3083,U3N4,-1.43483207233915,7.0
3110,UN,-1.41583815017175,2.0
3231,U4N2O,-1.29715381023745,7.0
3924,U3N2,-0.837501544137403,5.0
4290,U2O,-0.731426843642314,3.0
5821,U3O,-0.50102903211276,4.0
13245,UN3,-0.0864766302576285,4.0
27154,U3N,0.246829169914124,4.0
0,U3O13,-2.790698209978771,32.0
1,UNO2,-1.8671407424601152,4.0
2,U3O14,-2.7397106031348333,17.0
3,UO5,-2.689567272902485,12.0
4,U2O9,-2.7514339796157428,33.0
5,UO14,-2.451237594023087,15.0
6,UO8,-2.540872893459717,9.0
7,UN18,-0.4571046366944159,19.0
8,UN4,-0.1704916342118994,5.0
9,UO7,-2.5653951897336302,8.0
10,UO6,-2.631762418711836,7.0
11,UO11,-2.484964412831908,12.0
12,U4N15,-0.14704374292562658,19.0
13,UO6,-2.631762418711836,14.0
14,U2N5,-0.3961494945551262,7.0
15,U(NO)2,-1.2853239923469395,5.0
16,UO10,-2.5244867590803164,11.0
17,U3N5,-1.3090242749888046,8.0
18,UO12,-2.462110710399193,13.0
19,UNO4,-1.8930589959207955,6.0
20,U2N7,-0.14219168156740103,9.0
21,U2N25,-0.423125220801838,27.0
22,U4N9,-0.694966503140668,13.0
23,U4N7,-1.2027328946566644,11.0
24,UN4,-0.1704916342118994,10.0
25,UN16,-0.45125358612901867,17.0
26,U4N5,-1.4532647678444364,9.0
27,UN13,-0.4263036785644937,14.0
28,U3N11,-0.14548710454381208,14.0
29,UN4,-0.17049163421189945,15.0
30,UN14,-0.42924470804281084,15.0
31,UO4,-2.824408673252463,5.0
32,UN12,-0.41940486150760664,13.0
33,UN21,-0.4666784561937369,22.0
34,UN5O2,-0.7349840403624731,8.0
35,U2N4O,-0.768882716906913,7.0
36,UN3O,-0.7393870604019078,5.0
37,U4N3,-0.7233349363642799,7.0
38,U2N5O,-0.691170779928697,8.0
39,U3N6O,-0.7696142430516602,10.0
40,U8N17O,-0.6695692220524757,26.0
41,UN3O2,-0.8121907525849495,6.0
42,U6O23,-2.8664525278759463,29.0
43,UN2O,-0.926150542310795,4.0
44,U2N6O,-0.6653638215864885,9.0
45,U2N3O,-0.998228721644723,6.0
46,U3N2O3,-2.42431123369629,8.0
47,U2N9O2,-0.7442893518026159,13.0
48,U3N7O2,-0.7476007151594031,12.0
49,U2NO,-1.9984247723149244,4.0
50,U3N2O,-1.7465054975038745,6.0
51,U4N3O2,-1.9037366070627122,9.0
52,UN4O,-0.7496766314686105,6.0
53,U(N4O3)2,-0.8184079834821768,15.0
54,U(N2O)2,-0.7621459652171065,7.0
55,U2O5,-3.304552194074059,7.0
