,formula,Ef,num_atoms
21,UO2,-3.8192987939272,3.0
166,U3O8,-3.34901594132748,11.0
181,U2O3,-3.32372922653689,5.0
354,UO3,-3.13105211222759,4.0
936,UO,-2.64427993420142,2.0
1191,UNO,-2.44346775874878,3.0
1562,U3NO2,-2.22137324911222,6.0
2063,U3O2,-2.00933231986596,5.0
2279,U2N2O,-1.89610320332279,5.0
2959,U2N3,-1.5127065652061,5.0
2996,UN2,-1.495191535229,3.0
3083,U3N4,-1.43483207233915,7.0
3110,UN,-1.41583815017175,2.0
3231,U4N2O,-1.29715381023745,7.0
3924,U3N2,-0.837501544137403,5.0
4290,U2O,-0.731426843642314,3.0
5821,U3O,-0.50102903211276,4.0
13245,UN3,-0.0864766302576285,4.0
27154,U3N,0.246829169914124,4.0
0,U3O13,-2.6835165333165625,32.0
1,UNO2,-2.172366789112323,4.0
2,U3O14,-2.6507301382268187,17.0
3,UO5,-2.6148564727419883,12.0
4,U2O9,-2.6401010834300163,33.0
5,UO14,-2.6678337749766072,15.0
6,UO8,-2.594598637501088,9.0
7,UN18,-0.595715781183339,19.0
8,UN4,-0.31809275456917574,5.0
9,UO7,-2.5898394289618816,8.0
10,UO6,-2.6306287167118176,7.0
11,UN5,-0.3324629141159661,6.0
12,UN6,-0.5321777924428949,7.0
13,UO11,-2.6111879120008723,12.0
14,U2N11,-0.3998394567163529,13.0
15,U4N15,-0.2796642837893569,19.0
16,UN8,-0.629315925033851,9.0
17,UO6,-2.6306287167118176,14.0
18,U2N5,-0.5327911091125588,7.0
19,U(NO)2,-1.757936471843419,5.0
20,UO10,-2.638371882864742,11.0
21,UN9,-0.5927746736048696,10.0
22,U3N5,-1.372197713363515,8.0
23,UO12,-2.6106679524315117,13.0
24,UNO4,-2.334033109743879,6.0
25,U2N7,-0.2796642837893569,9.0
26,U2N9,-0.33143121182123064,11.0
27,U2N25,-0.580595216664548,27.0
28,U4N9,-0.8794315841447473,13.0
29,UN7,-0.6228172845033575,8.0
30,U4N7,-1.2587789931041202,11.0
31,UN4,-0.31809275456917574,10.0
32,UN16,-0.599472311029279,17.0
33,U3N14,-0.33143121182123064,17.0
34,U4N5,-1.4277317973717607,9.0
35,UN13,-0.580595216664548,14.0
36,U3N11,-0.2796642837893569,14.0
37,U4N19,-0.33143121182123064,23.0
38,U2N13,-0.6225264266323559,15.0
39,UN4,-0.31809275456917574,15.0
40,UN14,-0.5747190151351363,15.0
41,UN10,-0.5877451309943649,11.0
42,UO4,-2.6802161913984195,5.0
43,UN12,-0.580595216664548,13.0
44,UN21,-0.595715781183339,22.0
45,UN5O2,-1.3465601156410691,8.0
46,UN11,-0.581471771523425,12.0
47,U2N4O,-1.1422998485007798,7.0
48,UN3O,-1.3581936407533137,5.0
49,U4N3,-0.7497098804803621,7.0
50,U2N5O,-1.2541785699235686,8.0
51,U3N6O,-1.1875661291265527,10.0
52,U8N17O,-1.1265662298144907,26.0
53,UN3O2,-1.406368772325109,6.0
54,U6O23,-2.729018990845941,29.0
55,UN2O,-1.3083768556707687,4.0
56,U2N6O,-1.2731391942376793,9.0
