,formula,Ef,num_atoms
2959,U2N3,-1.5127065652061,5.0
2996,UN2,-1.495191535229,3.0
3083,U3N4,-1.43483207233915,7.0
3110,UN,-1.41583815017175,2.0
3924,U3N2,-0.837501544137403,5.0
13245,UN3,-0.0864766302576285,4.0
27154,U3N,0.246829169914124,4.0
0,UN4,-0.1704916342118994,5.0
1,U3N8,-0.3212917501632657,11.0
2,U4N5,-1.4532647678444364,9.0
3,U2N,-0.49241494790866164,3.0
4,U2N5,-0.39614949455512627,7.0
5,U3N5,-1.3090242749888046,8.0
6,U7N12,-1.271217165120988,19.0
7,U4N3,-0.7233349363642799,7.0
8,U7N3,-0.39946157886127415,10.0
9,U5N4,-0.8032184986569895,9.0
10,U5N3,-0.6006384849824156,8.0
11,U4N15,-0.14704374292562658,19.0
12,U2N7,-0.14219168156740103,9.0
13,UN12,-0.41940486150760653,13.0
14,U11N16,-1.4524876693095712,27.0
15,UN13,-0.4263036785644937,14.0
16,U6N7,-1.4330421243684812,13.0
17,U6N23,-0.15926017434849943,29.0
