,formula,Ef,num_atoms
21,UO2,-3.8192987939272,3.0
166,U3O8,-3.34901594132748,11.0
181,U2O3,-3.32372922653689,5.0
354,UO3,-3.13105211222759,4.0
936,UO,-2.64427993420142,2.0
2063,U3O2,-2.00933231986596,5.0
4290,U2O,-0.731426843642314,3.0
5821,U3O,-0.50102903211276,4.0
0,UO4,-2.68021619139842,5.0
1,U2O9,-2.640101083430017,11.0
2,UO5,-2.6148564727419883,6.0
3,UO6,-2.630628716711818,7.0
4,U4O5,-2.8773662828098594,9.0
5,U2O5,-3.164512563685136,7.0
6,U3O4,-3.267271146987664,7.0
7,U3O5,-3.365187526645472,8.0
8,U7O12,-3.3755155363024145,19.0
9,U4O3,-1.991022729984758,7.0
10,U7O3,-0.7391185665408482,10.0
11,U5O4,-2.0460401043356726,9.0
12,U5O3,-1.6551406293782591,8.0
13,UO7,-2.589839428961882,8.0
14,U4O15,-2.7080828680496096,19.0
15,U2O7,-2.7044133554638816,9.0
16,UO12,-2.6106679524315117,13.0
17,U2O17,-2.562016792255797,19.0
18,U11O16,-3.2693694970798255,27.0
19,UO13,-2.6678337749766072,14.0
20,U6O7,-2.806875354853285,13.0
21,U6O23,-2.729018990845941,29.0
22,U6O,-0.5371320728487196,7.0
23,U5O,-0.5396375321132578,6.0
