,formula,Ef,num_atoms
21,UO2,-3.8192987939272,3.0
166,U3O8,-3.34901594132748,11.0
181,U2O3,-3.32372922653689,5.0
354,UO3,-3.13105211222759,4.0
936,UO,-2.64427993420142,2.0
2063,U3O2,-2.00933231986596,5.0
4290,U2O,-0.731426843642314,3.0
5821,U3O,-0.50102903211276,4.0
0,UO4,-2.8244086732524636,5.0
1,U2O9,-2.7514339796157423,11.0
2,UO5,-2.689567272902485,6.0
3,UO6,-2.631762418711836,7.0
4,U4O5,-2.9417736900929583,9.0
5,U2O5,-3.304552194074059,7.0
6,U3O4,-3.190754393593621,7.0
7,U3O5,-3.3636987285864084,8.0
8,U7O12,-3.3785480943163337,19.0
9,U4O3,-1.9647139942256644,7.0
10,U7O3,-0.6377388809407598,10.0
11,U5O4,-2.054952071642246,9.0
12,U5O3,-1.4873252571779263,8.0
13,UO7,-2.5653951897336302,8.0
14,U4O15,-2.864439439973556,19.0
15,U2O7,-2.8943457464878968,9.0
16,UO12,-2.462110710399193,13.0
17,U2O17,-2.513131665508859,19.0
18,U11O16,-3.25726530210308,27.0
19,UO13,-2.469885688256409,14.0
20,U6O7,-2.8438771941692433,13.0
21,U6O23,-2.8664525278759463,29.0
22,U6O,-0.3897432940146009,7.0
23,U5O,-0.3989646047687709,6.0
