,formula,Ef,num_atoms
2959,U2N3,-1.5127065652061,5.0
2996,UN2,-1.495191535229,3.0
3083,U3N4,-1.43483207233915,7.0
3110,UN,-1.41583815017175,2.0
8975,UH3,-0.265673788200631,4.0
15977,UH,-0.0022377635920873,2.0
27154,U3N,0.246829169914124,4.0
34520,U3H,0.399477143203955,4.0
60923,U2H,1.63186293760528,3.0
0,U3H13,-0.2927614528530115,32.0
1,UH2N,-0.23442906048870946,4.0
2,U3H14,-0.2898050085482096,17.0
3,UH5,-0.27522046234212894,12.0
4,U2H9,-0.28798180414354896,33.0
5,UH14,-0.31007070809727455,15.0
6,UHN,-0.5359286973356459,3.0
7,UH8,-0.28015532760656814,9.0
8,U(HN2)6,-0.830610847634653,19.0
9,UHN3,-0.9627942412107963,5.0
10,UH7,-0.3006880432551304,8.0
11,UH6,-0.30550430233638004,7.0
12,UHN4,-0.5185156277792247,6.0
13,U(HN2)2,-1.0051817086550516,7.0
14,UH11,-0.26750552640564823,12.0
15,U2H2N9,-0.4692144572238236,13.0
16,U4H4N11,-1.1501415749467194,19.0
17,U(HN3)2,-0.5178382928070199,9.0
18,UH6,-0.30550430233638004,14.0
19,U2HN4,-1.2437667448884073,7.0
20,U(HN)2,-0.5493744458616762,5.0
21,UH10,-0.2618627666243982,11.0
22,UH2N7,-0.46765710163247204,10.0
23,U3HN4,-1.2757157397856949,8.0
24,UH12,-0.28288597252793873,13.0
25,UH4N,-0.34518656379587254,6.0
26,U2H2N5,-1.237157700970984,9.0
27,U2H2N7,-0.712337294412198,11.0
28,U2H6N19,-0.48893549220976473,27.0
29,U(HN2)3,-0.9394132966014697,10.0
30,U4H2N7,-1.2208279463555107,13.0
31,UH2N5,-0.9062997305357321,8.0
32,U4N7,-1.2587789931041207,11.0
33,U2HN7,-0.422807886423057,10.0
34,U(HN3)4,-0.5568974372936453,17.0
35,U3(H2N5)2,-1.043187662149441,17.0
36,U4N5,-1.4277317973717607,9.0
37,UH3N10,-0.40830836767748097,14.0
38,U2HN6,-0.4232118018709583,9.0
39,UHN2,-1.2055695348783853,4.0
40,UHN5,-0.422117344653841,7.0
41,UH2N3,-1.0510322980023046,6.0
42,U2N5,-0.5327911091125587,7.0
43,U3HN10,-0.3569296944058734,14.0
44,U4H8N11,-1.0170264110775857,23.0
45,U2H6N7,-0.8184934136854469,15.0
46,UH3N4,-0.9532307076252696,8.0
47,U3(HN5)2,-0.510441700586546,15.0
48,U2H2N11,-0.38651124295423733,15.0
49,UHN6,-0.3491470002994185,8.0
50,U2H4N5,-0.7118400707880824,11.0
51,UH3N11,-0.42174315210463825,15.0
52,U(HN4)2,-0.4624065659184279,11.0
53,UH4,-0.29711345822635504,5.0
54,UH4N5,-0.9188744455540201,10.0
55,U2(HN2)3,-1.063918930067651,11.0
56,UN6,-0.5321777924428951,7.0
57,U3HN2,-0.551215238767246,6.0
58,U2H5N2,-0.23649949259968311,9.0
59,U(HN)6,-0.7252827610090523,13.0
60,UN7,-0.6228172845033577,8.0
61,UH7N6,-0.6524312557615134,14.0
62,UH5N16,-0.5387795094031509,22.0
63,U(H4N3)2,-0.5472449026233768,15.0
64,U2H3N8,-0.9151784791487362,13.0
65,UN8,-0.629315925033851,9.0
66,U2N7,-0.2796642837893569,9.0
67,U2H2N,-0.3071780530862471,5.0
68,UH2,-0.18833430077671337,3.0
69,UN11,-0.581471771523425,12.0
70,U2H3,-0.20747785164753996,5.0
71,UN4,-0.31809275456917574,5.0
72,UN9,-0.5927746736048697,10.0
73,UH3N,-0.3896159960413466,5.0
74,U2HN3,-1.2045365793494478,6.0
75,U4N3,-0.7497098804803622,7.0
76,U2HN5,-0.8569320901422218,8.0
77,U4H2N,-0.324522172525148,7.0
78,U3H8,-0.2780381512836668,22.0
79,U3HN6,-1.04581071349653,10.0
80,U8HN17,-0.8314800643331386,26.0
81,U2HN2,-0.7129858246234314,5.0
82,U(HN)8,-0.7518016081151053,17.0
83,U6H23,-0.29292436985150155,29.0
84,U3H3N2,-0.28210811480822323,8.0
85,U4H6N,-0.3074022361930159,11.0
86,U3H2N7,-1.2007315558487826,12.0
87,U2HN,-0.3680586996332706,4.0
88,U4H2N3,-0.5440195717365502,9.0
89,U3HN,-0.3600360159842243,5.0
90,UH2,-0.18833430077671337,9.0
91,U(H3N4)2,-0.906000590326598,15.0
92,U4HN2,-0.5066242894537554,7.0
93,U2H5,-0.26558309590983076,7.0
94,U2H7,-0.2832246823232684,9.0
95,U5H31,-0.30550430233638004,36.0
96,UH16,-0.31121508717905655,17.0
97,U3H5,-0.15681060022995055,8.0
98,U2H19,-0.26697364431860254,21.0
99,UH5,-0.27522046234212894,6.0
100,U2H3N,-0.2599552835209735,6.0
101,U3H7,-0.22958412006739662,10.0
102,UH2,-0.18833430077671337,6.0
103,UH4,-0.29711345822635504,10.0
104,UH4N3,-0.5966436482003725,8.0
105,UH22,-0.32969137855415975,23.0
106,U2H11,-0.29587727119856233,13.0
107,U3H2N,-0.3362933144182251,6.0
108,U4H13,-0.2775661090004984,17.0
109,UH3N2,-0.4513858905778071,6.0
110,U3H17,-0.3085248913913261,20.0
111,U(H2N)2,-0.3696027031796464,7.0
112,U2H49,-0.33813637333078855,51.0
113,U3H8,-0.2780381512836668,11.0
114,U4H31,-0.2822651333391771,35.0
115,U3H16,-0.2719653043126451,19.0
116,UH9,-0.26619039214606954,10.0
117,U8H15,-0.1580478898292118,23.0
118,U3H2N3,-0.700973158647958,8.0
119,U2N,-0.49613962463198635,3.0
120,U2H9,-0.28798180414354896,11.0
121,U3H11,-0.2858883376479294,14.0
122,U2H25,-0.2812671431529387,27.0
123,U3(HN)2,-0.40405077450800536,7.0
124,U4H23,-0.30358612934463575,27.0
125,U2H2N3,-0.7259209869472864,7.0
126,U2H4N3,-0.42873032388240356,9.0
127,U2H27,-0.3066537415708834,29.0
128,U11(H2N3)6,-0.926124477900043,41.0
129,U2H17N3,-0.355805235424008,22.0
130,U4H5,-0.17794029770636646,9.0
131,U3H4,-0.17313998001412217,7.0
132,U(HN)4,-0.6319366697066806,9.0
133,U2H6N5,-0.5484653499210534,13.0
134,U2H3N2,-0.29587632048102075,7.0
135,U3N5,-1.3721977133635157,8.0
136,U(HN)3,-0.7234458703518987,7.0
137,U2H17,-0.28403200439983745,19.0
138,U5H3N8,-1.1949369150862361,16.0
139,U2H3N4,-0.7996766912996671,9.0
140,U2N,-0.49613962463198635,6.0
141,UH20,-0.32399715975123844,21.0
142,U2H15,-0.3004425058079271,17.0
143,UH28,-0.33813637333078855,29.0
144,U2(HN)3,-0.5545385636014462,8.0
145,U2H4N,-0.2864371384672721,7.0
146,U4H3N,-0.34891057515828555,8.0
147,U2H5N,-0.3330070183090882,8.0
